M,S,Tirr,L,Tphot,Rphot,Pphot,Tdm,Prcb
29.0,4.749999999999994,2884.0,1.213958330888331e+20,2891.1823725886115,8.581976613911289,0.0086287442777178,0.0,0.0
29.0,4.799999999999994,288.0,1.8357690256242143e+21,289.1206776761088,5.1784184456689895,0.0010028425457394,2.9663389735730268e+29,400.3819863579278
29.0,4.799999999999994,912.0,1.544627733401717e+21,914.2721956945272,5.7387955339723336,0.0006769805653598,0.0,0.0
29.0,4.799999999999994,1442.0,1.2110353118425488e+21,1445.5911949711267,6.299200630204923,0.001382919378519,0.0,0.0
29.0,4.799999999999994,2039.0,8.43015692611081e+20,2044.3746632230468,6.588325550161615,0.0312825326603157,0.0,0.0
29.0,4.799999999999994,2884.0,2.041128935150736e+20,2891.1823726281405,8.606089636012278,0.0085974751997425,0.0,0.0
29.0,4.849999999999993,288.0,1.8993318980142296e+21,289.12075419483887,5.18707034489505,0.0009992181074653,2.884552677683246e+29,394.684821722342
29.0,4.849999999999993,912.0,1.5996891409542873e+21,914.2721973731713,5.751345227591786,0.000674001319442,0.0,0.0
29.0,4.849999999999993,1442.0,1.2730442120657248e+21,1445.5911953807176,6.313368263252466,0.0013807605872937,0.0,0.0
29.0,4.849999999999993,2039.0,9.200335704349076e+20,2044.3746633948083,6.598518756839503,0.031187816328187,0.0,0.0
29.0,4.849999999999993,2884.0,2.864582148412726e+20,2891.1823726673124,8.621616518152885,0.0085774641297066,0.0,0.0
29.0,4.899999999999993,288.0,1.9628947704042448e+21,289.1208307135689,5.19572224412111,0.0009955936691913,2.802766381793465e+29,388.98765708675626
29.0,4.899999999999993,912.0,1.6604917821246978e+21,914.272199175414,5.764518342466156,0.0006709500145872,0.0,0.0
29.0,4.899999999999993,1442.0,1.340849731933409e+21,1445.5911958239471,6.326803586869437,0.0013787362833922,0.0,0.0
29.0,4.899999999999993,2039.0,9.970514482587345e+20,2044.37466356657,6.608711963517391,0.0310930999960583,0.0,0.0
29.0,4.899999999999993,2884.0,3.692329627445831e+20,2891.182372706349,8.63868011651041,0.0085555689477831,0.0,0.0
29.0,4.949999999999993,288.0,2.02645764279426e+21,289.120907232299,5.204374143347169,0.0009919692309172,2.720980085903684e+29,383.2904924511705
29.0,4.949999999999993,912.0,1.7253834827502233e+21,914.272201065688,5.778135474558186,0.0006678473874387,0.0,0.0
29.0,4.949999999999993,1442.0,1.4125788248059064e+21,1445.5911962899452,6.339743230298788,0.0013768030102751,0.0,0.0
29.0,4.949999999999993,2039.0,1.0769160015059608e+21,2044.3746637416004,6.6209395793869135,0.0309804896838842,0.0,0.0
29.0,4.949999999999993,2884.0,4.588327881430887e+20,2891.1823727485967,8.650442840355982,0.0085405385302522,0.0,0.0
29.0,4.999999999999993,288.0,2.1010116610093836e+21,289.1209924577325,5.214787468670122,0.0009877839998737,2.8802826447551967e+29,376.2659920643886
29.0,4.999999999999993,912.0,1.7902751833757484e+21,914.2722029559618,5.791752606650218,0.0006647447602901,0.0,0.0
29.0,4.999999999999993,1442.0,1.4843079176784036e+21,1445.5911967559434,6.352682873728139,0.001374869737158,0.0,0.0
29.0,4.999999999999993,2039.0,1.1600907223757244e+21,2044.374663920432,6.635532844456126,0.0308470719157924,0.0,0.0
29.0,4.999999999999993,2884.0,5.490314505305208e+20,2891.182372790808,8.663325579379197,0.0085241566592404,0.0,0.0
29.0,5.049999999999993,288.0,2.175882947672486e+21,289.12107793449206,5.225251639003492,0.0009835825810864,3.046544431332922e+29,369.20317704140496
29.0,5.049999999999993,912.0,1.8551668840012736e+21,914.2722048462356,5.8053697387422485,0.0006616421331416,0.0,0.0
29.0,5.049999999999993,1442.0,1.556037010550901e+21,1445.5911972219417,6.36562251715749,0.001372936464041,0.0,0.0
29.0,5.049999999999993,2039.0,1.2432654432454876e+21,2044.374664099263,6.650126109525338,0.0307136541477005,0.0,0.0
29.0,5.049999999999993,2884.0,6.359343533491927e+20,2891.182372830453,8.68704871154663,0.0084941206747239,0.0,0.0
29.0,5.0999999999999925,288.0,2.2507542343355888e+21,289.1211634112517,5.235715809336863,0.0009793811622991,3.2128062179106474e+29,362.1403620184213
29.0,5.0999999999999925,912.0,1.9200585846267988e+21,914.2722067365094,5.81898687083428,0.0006585395059931,0.0,0.0
29.0,5.0999999999999925,1442.0,1.6286792906421735e+21,1445.5911976920509,6.378769491227522,0.0013709759297052,0.0,0.0
29.0,5.0999999999999925,2039.0,1.3302858781796933e+21,2044.3746642853491,6.664358808419017,0.0305843836582507,0.0,0.0
29.0,5.0999999999999925,2884.0,7.290094068426323e+20,2891.182372873317,8.70173846148514,0.0084755882650133,0.0,0.0
29.0,5.149999999999992,288.0,2.3256255209986916e+21,289.1212488880113,5.2461799796702335,0.0009751797435119,3.379068004488372e+29,355.0775469954377
29.0,5.149999999999992,912.0,1.984950285252324e+21,914.2722086267833,5.832604002926311,0.0006554368788445,0.0,0.0
29.0,5.149999999999992,1442.0,1.7130698657429633e+21,1445.5911982150496,6.394583806102544,0.0013686646755692,0.0,0.0
29.0,5.149999999999992,2039.0,1.4247370131903988e+21,2044.3746644854536,6.677894820283129,0.0304631265528452,0.0,0.0
29.0,5.149999999999992,2884.0,8.251247417058038e+20,2891.182372917767,8.711978543043305,0.0084627222924996,0.0,0.0
29.0,5.199999999999992,288.0,2.400496807661794e+21,289.1213343647709,5.256644150003604,0.0009709783247246,3.545329791066098e+29,348.01473197245406
29.0,5.199999999999992,912.0,2.0559956796285056e+21,914.272210658312,5.846949687999782,0.0006522222763991,0.0,0.0
29.0,5.199999999999992,1442.0,1.7974604408437534e+21,1445.5911987380484,6.410398120977565,0.0013663534214332,0.0,0.0
29.0,5.199999999999992,2039.0,1.519188148201104e+21,2044.3746646855584,6.69143083214724,0.0303418694474396,0.0,0.0
29.0,5.199999999999992,2884.0,9.200772367987328e+20,2891.182372959194,8.741203480621747,0.008426428398867,0.0,0.0
29.0,5.249999999999992,288.0,2.475368094324897e+21,289.1214198415305,5.267108320336975,0.0009667769059373,3.711591577643823e+29,340.9519169494704
29.0,5.249999999999992,912.0,2.1393737087097944e+21,914.2722129729312,5.862755468123068,0.0006487832639505,0.0,0.0
29.0,5.249999999999992,1442.0,1.8818510159445431e+21,1445.5911992610472,6.426212435852586,0.0013640421672972,0.0,0.0
29.0,5.249999999999992,2039.0,1.6136392832118093e+21,2044.3746648856632,6.70496684401135,0.030220612342034,0.0,0.0
29.0,5.249999999999992,2884.0,1.0149572058207496e+21,2891.182373000432,8.771612499661131,0.0083886733107415,0.0,0.0
29.0,5.299999999999992,288.0,2.555943880168803e+21,289.1215109375654,5.27800304743845,0.0009624514639209,3.227801823566111e+30,6404.7624312751705
